State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,Currency,Unit,Date
Alaska,AK,Anchorage,5.0205,5.0106,0.00990000000000002,5.3171,5.2973,0.01980000000000004,5.5487,5.5589,-0.010200000000000209,6.3858,6.3599,0.025900000000000034,U.S Dollar,US Gallon,2026-09-15
Alaska,AK,Fairbanks,5.0381,5.0618,-0.023699999999999832,5.3135,5.307,0.00649999999999995,5.5065,5.5299,-0.023399999999999643,6.5161,6.4702,0.04589999999999961,U.S Dollar,US Gallon,2026-09-15
Alaska,AK,Juneau,4.734,4.7923,-0.05830000000000002,4.999,4.889,0.10999999999999943,5.049,5.039,0.010000000000000675,6.1357,6.2065,-0.0708000000000002,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Anniston-Oxford,3.9034,3.8984,0.004999999999999893,4.3103,4.3228,-0.012500000000000178,4.7726,4.7819,-0.00930000000000053,6.0385,5.9628,0.07570000000000032,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Auburn,3.9124,3.9096,0.0027999999999996916,4.3134,4.3367,-0.023300000000000765,4.756,4.7471,0.008900000000000574,6.042,6.0361,0.005899999999999572,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Birmingham,3.9128,3.9163,-0.0035000000000002807,4.3922,4.3809,0.01130000000000031,4.8102,4.7766,0.03359999999999985,6.0213,5.9833,0.038000000000000256,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Daphne-Fairhope-Foley,3.8717,3.8769,-0.005199999999999871,4.332,4.3538,-0.02179999999999982,4.7663,4.7823,-0.016000000000000014,5.9434,5.9299,0.013499999999999623,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Decatur,3.8828,3.8906,-0.007800000000000029,4.3752,4.3587,0.016500000000000625,4.728,4.7407,-0.0127000000000006,5.9546,5.9188,0.035800000000000054,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Dothan,3.9358,3.9367,-0.0009000000000001229,4.3843,4.3808,0.0034999999999998366,4.7596,4.7679,-0.008300000000000196,6.0095,5.9367,0.07279999999999998,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Florence-Muscle Shoals,3.8981,3.916,-0.017900000000000027,4.2855,4.3007,-0.015200000000000102,4.669,4.7398,-0.0708000000000002,6.0259,5.9954,0.03049999999999997,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Gadsden,3.8777,3.8833,-0.005600000000000271,4.3725,4.3319,0.040599999999999525,4.737,4.7395,-0.0024999999999995026,5.9473,5.9304,0.01690000000000058,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Huntsville,3.8964,3.898,-0.0016000000000002679,4.3563,4.3541,0.002200000000000202,4.7023,4.7283,-0.0259999999999998,5.9713,5.9316,0.039699999999999847,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Mobile,3.8927,3.8997,-0.007000000000000117,4.3609,4.3697,-0.008799999999999919,4.7654,4.7448,0.02059999999999995,5.9881,5.9744,0.013700000000000045,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Montgomery,3.9317,3.9331,-0.0013999999999998458,4.394,4.382,0.012000000000000455,4.8257,4.8085,0.017199999999999882,6.0347,5.9751,0.05959999999999965,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Russell County,3.9647,3.9351,0.029600000000000293,4.4365,4.429,0.007499999999999396,4.9347,4.9263,0.008399999999999963,6.1108,6.0508,0.0600000000000005,U.S Dollar,US Gallon,2026-09-15
Alabama,AL,Tuscaloosa,3.9309,3.9278,0.0030999999999998806,4.4041,4.3903,0.013799999999999812,4.7892,4.8102,-0.020999999999999908,5.9229,5.8803,0.04260000000000019,U.S Dollar,US Gallon,2026-09-15
Arkansas,AR,Fayetteville-Springdale-Rogers,4.0101,4.0224,-0.012299999999999756,4.4165,4.3744,0.04210000000000047,4.7388,4.7024,0.03640000000000043,5.9319,5.8866,0.04530000000000012,U.S Dollar,US Gallon,2026-09-15
Arkansas,AR,Fort Smith (AR only),3.9766,3.982,-0.0054000000000002935,4.4908,4.4558,0.03500000000000014,4.8584,4.8207,0.03769999999999918,5.9254,5.8953,0.030100000000000016,U.S Dollar,US Gallon,2026-09-15
Arkansas,AR,Hot Springs,3.8471,3.8536,-0.00649999999999995,4.3668,4.4125,-0.045700000000000074,4.7786,4.624,0.1546000000000003,5.9221,5.9231,-0.0009999999999994458,U.S Dollar,US Gallon,2026-09-15
Arkansas,AR,Jonesboro,3.9307,3.9225,0.008199999999999985,4.3634,4.3071,0.05630000000000024,4.7812,4.714,0.0671999999999997,6.0186,5.966,0.05259999999999998,U.S Dollar,US Gallon,2026-09-15
Arkansas,AR,Little Rock-North Little Rock,3.9099,3.9005,0.009399999999999853,4.379,4.3841,-0.0051000000000005485,4.7631,4.7381,0.024999999999999467,5.9251,5.9046,0.020499999999999297,U.S Dollar,US Gallon,2026-09-15
Arkansas,AR,Pine Bluff,3.8979,3.889,0.00890000000000013,4.4169,4.504,-0.08709999999999951,4.9765,4.8701,0.10639999999999983,5.891,5.9273,-0.03629999999999978,U.S Dollar,US Gallon,2026-09-15
Arkansas,AR,Texarkana (AR only),3.9642,3.9833,-0.019099999999999895,4.5178,4.459,0.05880000000000063,4.8114,4.7119,0.09949999999999992,6.0463,6.052,-0.005700000000000038,U.S Dollar,US Gallon,2026-09-15
Arkansas,AR,West Memphis,3.9387,3.9465,-0.007800000000000029,4.4379,4.3263,0.11160000000000014,4.8815,4.8348,0.04669999999999952,5.9542,6.0325,-0.07829999999999959,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,East Valley,4.6766,4.6763,0.0002999999999993008,5.0595,5.0499,0.009599999999999831,5.38,5.3782,0.0018000000000002458,6.2219,6.22,0.0019000000000000128,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,Flagstaff,4.7355,4.7281,0.007399999999999629,4.9644,4.9888,-0.024399999999999977,5.3612,5.3946,-0.03339999999999943,6.3361,6.2692,0.0669000000000004,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,Glendale,4.586,4.5922,-0.006199999999999761,4.9833,4.9566,0.026699999999999946,5.3133,5.3062,0.007100000000000328,6.2539,6.2381,0.015799999999999592,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,Lake Havasu-Kingman,4.6901,4.6541,0.036000000000000476,4.9213,4.8887,0.03259999999999952,5.238,5.2715,-0.0334999999999992,6.3757,6.3307,0.04499999999999993,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,Peoria,4.6139,4.6283,-0.01440000000000019,4.9487,4.993,-0.04430000000000067,5.2841,5.3156,-0.031500000000000306,6.2246,6.2246,0.0,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,Phoenix Proper,4.6117,4.6157,-0.004000000000000448,4.9918,4.9903,0.0014999999999991687,5.329,5.3207,0.008299999999999308,6.2411,6.222,0.019099999999999895,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,Phoenix-Mesa,4.6244,4.6261,-0.001700000000000479,5.0065,5.0026,0.0038999999999997925,5.3357,5.3375,-0.0018000000000002458,6.2345,6.2232,0.011299999999999422,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,Pima County,4.36,4.3656,-0.005599999999999383,4.7336,4.7337,-9.999999999976694e-05,5.0483,5.0422,0.006099999999999994,6.0305,6.0198,0.010699999999999932,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,Prescott,4.6437,4.6364,0.007299999999999862,4.9578,4.8951,0.06269999999999953,5.2482,5.2462,0.0019999999999997797,6.3327,6.3213,0.011400000000000077,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,Scottsdale,4.7966,4.7941,0.0024999999999995026,5.1521,5.1572,-0.00509999999999966,5.4946,5.4964,-0.0018000000000002458,6.2549,6.2371,0.01780000000000026,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,Sierra Vista-Douglas,4.311,4.2804,0.03059999999999974,4.5813,4.5574,0.023899999999999366,4.8949,4.879,0.015900000000000247,6.1982,6.1572,0.04100000000000037,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,Tucson,4.3584,4.3646,-0.0062000000000006494,4.7346,4.7354,-0.0007999999999999119,5.049,5.0463,0.002700000000000813,6.0323,6.0172,0.015100000000000335,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,West Valley,4.5808,4.5901,-0.009299999999999642,4.9647,4.9706,-0.00590000000000046,5.2973,5.2966,0.000700000000000145,6.2229,6.2044,0.018500000000000405,U.S Dollar,US Gallon,2026-09-15
Arizona,AZ,Yuma,4.5997,4.5739,0.025800000000000267,4.8674,4.8586,0.008799999999999919,5.1916,5.1895,0.002100000000000435,6.4049,6.3236,0.0812999999999997,U.S Dollar,US Gallon,2026-09-15
California,CA,Bakersfield,5.9509,5.9486,0.0022999999999999687,6.1781,6.1925,-0.01440000000000019,6.3802,6.4121,-0.03189999999999937,8.0602,8.0425,0.017699999999999605,U.S Dollar,US Gallon,2026-09-15
California,CA,Chico-Paradise,5.7812,5.7871,-0.005899999999999572,5.9943,5.9538,0.04049999999999976,6.2136,6.1946,0.01899999999999924,7.9068,7.8753,0.03149999999999942,U.S Dollar,US Gallon,2026-09-15
California,CA,El Centro,5.7769,5.7545,0.022400000000000198,5.9357,5.868,0.06769999999999943,6.2103,6.1429,0.06740000000000013,7.9807,8.0166,-0.03590000000000071,U.S Dollar,US Gallon,2026-09-15
California,CA,Fresno,5.9952,5.9774,0.017799999999999372,6.2196,6.1737,0.04589999999999961,6.4293,6.382,0.0472999999999999,8.2667,8.1686,0.09810000000000052,U.S Dollar,US Gallon,2026-09-15
California,CA,Hanford-Corcoran,5.9854,5.9529,0.03250000000000064,6.1996,6.1714,0.028200000000000003,6.4316,6.3978,0.033800000000000274,8.3155,8.1413,0.1742000000000008,U.S Dollar,US Gallon,2026-09-15
California,CA,Los Angeles-Long Beach,6.06,6.0447,0.01529999999999987,6.2647,6.2491,0.015600000000000058,6.4491,6.434,0.015099999999999447,8.1505,8.0978,0.05269999999999975,U.S Dollar,US Gallon,2026-09-15
California,CA,Madera-Chowchilla,6.0226,6.0088,0.013799999999999812,6.2893,6.1994,0.08990000000000009,6.502,6.4649,0.03709999999999969,8.1313,8.0707,0.0605999999999991,U.S Dollar,US Gallon,2026-09-15
California,CA,Merced,5.9202,5.8998,0.020400000000000418,6.2588,6.2255,0.03329999999999966,6.4658,6.4577,0.008099999999999774,8.0541,7.991,0.06310000000000038,U.S Dollar,US Gallon,2026-09-15
