State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,Currency,Unit,Date
Alaska,AK,Anchorage,5.0126,5.0184,-0.005799999999999805,5.2886,5.2982,-0.009599999999999831,5.5365,5.5226,0.013900000000000468,6.5914,6.5469,0.044500000000000206,U.S Dollar,US Gallon,2026-09-18
Alaska,AK,Fairbanks,5.0425,5.0439,-0.0013999999999994017,5.289,5.2726,0.01639999999999997,5.507,5.5055,0.0015000000000000568,6.6825,6.6438,0.0387000000000004,U.S Dollar,US Gallon,2026-09-18
Alaska,AK,Juneau,4.753,4.7601,-0.007100000000000328,4.9115,4.9523,-0.04079999999999995,5.0265,5.0723,-0.04579999999999984,6.329,6.2457,0.08329999999999949,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Anniston-Oxford,3.9613,3.9585,0.0028000000000001357,4.4233,4.4201,0.0032000000000005357,4.8493,4.8458,0.0035000000000007248,6.1427,6.1164,0.02629999999999999,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Auburn,3.9954,3.9893,0.006099999999999994,4.4783,4.4523,0.0259999999999998,4.8855,4.8715,0.014000000000000234,6.1329,6.12,0.012900000000000134,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Birmingham,3.9977,3.9827,0.015000000000000124,4.4684,4.4559,0.012500000000000178,4.8872,4.8673,0.019899999999999807,6.1472,6.1188,0.028399999999999537,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Daphne-Fairhope-Foley,3.9853,3.9754,0.00990000000000002,4.4776,4.4767,0.0008999999999996788,4.8685,4.8826,-0.014100000000000001,6.0738,6.0439,0.029900000000000482,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Decatur,3.9864,3.9649,0.021500000000000075,4.4773,4.4328,0.04449999999999932,4.852,4.7686,0.08340000000000014,6.0943,6.0313,0.06299999999999972,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Dothan,4.0425,4.0302,0.012300000000000644,4.4682,4.4866,-0.01839999999999975,4.8527,4.908,-0.05530000000000079,6.179,6.131,0.04800000000000004,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Florence-Muscle Shoals,4.0048,3.9919,0.012900000000000578,4.4602,4.427,0.033200000000000784,4.84,4.8193,0.02069999999999972,6.1397,6.0908,0.04890000000000061,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Gadsden,3.983,3.9698,0.013199999999999878,4.4328,4.4038,0.028999999999999915,4.8622,4.8228,0.03939999999999966,6.0627,6.0273,0.0354000000000001,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Huntsville,3.996,3.9759,0.020099999999999785,4.4757,4.46,0.015699999999999825,4.83,4.8154,0.014599999999999724,6.1096,6.03,0.07960000000000012,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Mobile,3.9971,3.9804,0.01670000000000016,4.4631,4.4634,-0.000300000000000189,4.8529,4.854,-0.001100000000000101,6.1036,6.0867,0.016899999999999693,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Montgomery,4.0142,4.0051,0.009100000000000108,4.5045,4.4851,0.019400000000000084,4.9659,4.9244,0.04150000000000009,6.155,6.1192,0.035800000000000054,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Russell County,4.0548,4.044,0.010800000000000587,4.5334,4.494,0.039400000000000546,5.0065,4.9512,0.055299999999999905,6.2231,6.1968,0.02629999999999999,U.S Dollar,US Gallon,2026-09-18
Alabama,AL,Tuscaloosa,3.9925,3.9861,0.006400000000000183,4.4833,4.4772,0.006099999999999994,4.9253,4.8913,0.03399999999999981,6.0793,6.0706,0.008700000000000152,U.S Dollar,US Gallon,2026-09-18
