State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,Currency,Unit,Date
Alaska,AK,Anchorage,5.0184,5.03,-0.011600000000000499,5.3029,5.2841,0.018800000000000594,5.5444,5.5478,-0.0033999999999991815,6.6429,6.6465,-0.0035999999999996035,U.S Dollar,US Gallon,2026-09-22
Alaska,AK,Fairbanks,5.0472,5.0428,0.004400000000000404,5.3278,5.3134,0.01440000000000019,5.5665,5.5396,0.02689999999999948,6.7144,6.7282,-0.013799999999999812,U.S Dollar,US Gallon,2026-09-22
Alaska,AK,Juneau,4.8004,4.879,-0.07859999999999978,5.0157,4.9423,0.07339999999999947,5.254,5.249,0.004999999999999893,6.3665,6.244,0.1225000000000005,U.S Dollar,US Gallon,2026-09-22
Alabama,AL,Anniston-Oxford,3.9471,3.9538,-0.006700000000000372,4.4023,4.357,0.04530000000000012,4.8658,4.7913,0.07450000000000045,6.1502,6.1156,0.034600000000000186,U.S Dollar,US Gallon,2026-09-22
Alabama,AL,Auburn,4.0224,3.9992,0.02320000000000011,4.4914,4.4234,0.06799999999999962,4.9385,4.8872,0.051300000000000345,6.1204,6.1192,0.0011999999999998678,U.S Dollar,US Gallon,2026-09-22
Alabama,AL,Birmingham,4.0161,4.007,0.009100000000000108,4.4933,4.4651,0.028200000000000003,4.8952,4.8812,0.014000000000000234,6.1629,6.1541,0.008799999999999919,U.S Dollar,US Gallon,2026-09-22
Alabama,AL,Daphne-Fairhope-Foley,3.982,3.9829,-0.0008999999999996788,4.471,4.453,0.017999999999999794,4.8873,4.8686,0.01869999999999994,6.0698,6.0767,-0.006899999999999906,U.S Dollar,US Gallon,2026-09-22
Alabama,AL,Decatur,4.0062,3.9939,0.012299999999999756,4.5085,4.4697,0.03880000000000017,4.86,4.8344,0.025600000000000733,6.136,6.1478,-0.011800000000000033,U.S Dollar,US Gallon,2026-09-22
Alabama,AL,Dothan,4.0241,4.0191,0.004999999999999893,4.4626,4.4487,0.013900000000000468,4.8584,4.8647,-0.006300000000000416,6.1681,6.152,0.01609999999999978,U.S Dollar,US Gallon,2026-09-22
Alabama,AL,Florence-Muscle Shoals,4.0368,3.9969,0.03990000000000027,4.4881,4.4231,0.06500000000000039,4.904,4.8131,0.09089999999999954,6.1624,6.149,0.013399999999999856,U.S Dollar,US Gallon,2026-09-22
