State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,Currency,Unit,Date
Alaska,AK,Anchorage,4.8907,4.8264,0.06430000000000025,5.1424,5.081,0.0613999999999999,5.4118,5.3308,0.0810000000000004,5.7901,5.655,0.13509999999999955,U.S Dollar,US Gallon,2026-09-02
Alaska,AK,Fairbanks,4.851,4.8375,0.013499999999999623,5.1408,5.1278,0.0129999999999999,5.3585,5.3135,0.04499999999999993,5.7764,5.6958,0.08059999999999956,U.S Dollar,US Gallon,2026-09-02
Alaska,AK,Juneau,4.6836,4.679,0.0045999999999999375,4.7715,4.729,0.04249999999999954,4.8807,4.8807,0.0,5.7407,5.829,-0.08829999999999938,U.S Dollar,US Gallon,2026-09-02
Alabama,AL,Anniston-Oxford,3.7272,3.6921,0.03509999999999991,4.1794,4.1398,0.03960000000000008,4.6063,4.5272,0.07910000000000039,5.4017,5.2882,0.11350000000000016,U.S Dollar,US Gallon,2026-09-02
Alabama,AL,Auburn,3.7663,3.6957,0.07060000000000022,4.2248,4.1462,0.07859999999999978,4.6875,4.56,0.1275000000000004,5.4109,5.3216,0.08929999999999971,U.S Dollar,US Gallon,2026-09-02
Alabama,AL,Birmingham,3.7455,3.6952,0.05030000000000001,4.2414,4.1736,0.0677999999999992,4.6576,4.5829,0.07469999999999999,5.4377,5.3714,0.06630000000000003,U.S Dollar,US Gallon,2026-09-02
Alabama,AL,Daphne-Fairhope-Foley,3.76,3.6347,0.12529999999999974,4.2495,4.0861,0.1634000000000002,4.6608,4.5149,0.14590000000000014,5.4657,5.3516,0.11409999999999965,U.S Dollar,US Gallon,2026-09-02
Alabama,AL,Decatur,3.7241,3.6882,0.03589999999999982,4.1667,4.1543,0.012399999999999523,4.5658,4.5426,0.02320000000000011,5.3484,5.2745,0.07390000000000008,U.S Dollar,US Gallon,2026-09-02
Alabama,AL,Dothan,3.8307,3.789,0.04170000000000007,4.2721,4.1726,0.09949999999999992,4.7322,4.6051,0.12709999999999955,5.5225,5.4593,0.06320000000000014,U.S Dollar,US Gallon,2026-09-02
Alabama,AL,Florence-Muscle Shoals,3.7473,3.7117,0.035600000000000076,4.2353,4.1633,0.07200000000000006,4.6059,4.5878,0.01810000000000045,5.3397,5.2683,0.07139999999999969,U.S Dollar,US Gallon,2026-09-02
