State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,Currency,Unit,Date
Alaska,AK,Anchorage,4.992,4.989,0.0030000000000001137,5.2923,5.2662,0.026099999999999568,5.5329,5.5368,-0.0039000000000006807,6.1102,6.0996,0.010600000000000165,U.S Dollar,US Gallon,2026-09-09
Alaska,AK,Fairbanks,4.9763,4.9373,0.03900000000000059,5.3073,5.3326,-0.025300000000000544,5.5555,5.489,0.06650000000000045,6.3354,6.279,0.056400000000000006,U.S Dollar,US Gallon,2026-09-09
Alaska,AK,Juneau,4.6168,4.7076,-0.09080000000000066,4.679,4.779,-0.09999999999999964,4.849,4.901,-0.0519999999999996,6.024,6.049,-0.025000000000000355,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Anniston-Oxford,3.8217,3.7818,0.039899999999999824,4.2753,4.1938,0.08149999999999924,4.691,4.629,0.06200000000000028,5.604,5.5548,0.04919999999999991,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Auburn,3.8346,3.803,0.03160000000000007,4.3114,4.25,0.0613999999999999,4.7602,4.6779,0.08230000000000004,5.657,5.5925,0.06449999999999978,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Birmingham,3.8352,3.7843,0.050899999999999945,4.3121,4.2556,0.05649999999999977,4.7379,4.6634,0.07449999999999957,5.6592,5.5932,0.06599999999999984,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Daphne-Fairhope-Foley,3.8339,3.7893,0.04459999999999997,4.3087,4.2522,0.05649999999999977,4.7447,4.6898,0.05489999999999995,5.6499,5.6162,0.03369999999999962,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Decatur,3.7883,3.7688,0.01949999999999985,4.2885,4.219,0.06949999999999967,4.6603,4.6251,0.035200000000000564,5.5828,5.5948,-0.012000000000000455,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Dothan,3.8955,3.8425,0.05300000000000038,4.333,4.2619,0.07110000000000039,4.7419,4.6952,0.04670000000000041,5.7328,5.6868,0.04600000000000026,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Florence-Muscle Shoals,3.8651,3.7815,0.08360000000000012,4.2985,4.1895,0.10899999999999999,4.702,4.5911,0.1109,5.6581,5.6529,0.0052000000000003155,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Gadsden,3.7845,3.7353,0.04919999999999991,4.3386,4.2448,0.09379999999999988,4.7107,4.5562,0.15450000000000053,5.5532,5.5015,0.0517000000000003,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Huntsville,3.8222,3.7882,0.03400000000000025,4.3047,4.2809,0.023800000000000487,4.691,4.6542,0.0367999999999995,5.575,5.5563,0.01869999999999994,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Mobile,3.8446,3.7995,0.045099999999999696,4.3533,4.2541,0.09919999999999973,4.7382,4.6506,0.08760000000000012,5.7167,5.6633,0.05340000000000078,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Montgomery,3.877,3.851,0.0259999999999998,4.3585,4.3155,0.04300000000000015,4.8006,4.743,0.057599999999999874,5.6529,5.6054,0.04749999999999943,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Russell County,3.8605,3.8336,0.026899999999999924,4.3603,4.3434,0.016899999999999693,4.8365,4.8259,0.010600000000000165,5.6461,5.5897,0.056400000000000006,U.S Dollar,US Gallon,2026-09-09
Alabama,AL,Tuscaloosa,3.832,3.799,0.03299999999999992,4.316,4.2228,0.0931999999999995,4.7276,4.6586,0.06899999999999995,5.6548,5.5548,0.09999999999999964,U.S Dollar,US Gallon,2026-09-09
Arkansas,AR,Fayetteville-Springdale-Rogers,3.943,3.8193,0.12369999999999992,4.3648,4.1947,0.1700999999999997,4.7032,4.4883,0.2149000000000001,5.5579,5.5045,0.05339999999999989,U.S Dollar,US Gallon,2026-09-09
Arkansas,AR,Fort Smith (AR only),3.8487,3.7473,0.10139999999999993,4.3138,4.1876,0.12619999999999987,4.7579,4.5616,0.19629999999999992,5.5751,5.5249,0.050200000000000244,U.S Dollar,US Gallon,2026-09-09
Arkansas,AR,Hot Springs,3.7743,3.7069,0.06740000000000013,4.4058,4.3179,0.08790000000000031,4.7805,4.616,0.1645000000000003,5.5665,5.5681,-0.001600000000000712,U.S Dollar,US Gallon,2026-09-09
Arkansas,AR,Jonesboro,3.8403,3.7692,0.07109999999999994,4.1766,4.153,0.023600000000000065,4.6966,4.5663,0.13030000000000008,5.7,5.6913,0.008700000000000152,U.S Dollar,US Gallon,2026-09-09
Arkansas,AR,Little Rock-North Little Rock,3.7967,3.7438,0.05290000000000017,4.3013,4.2672,0.03410000000000046,4.6651,4.5921,0.07299999999999951,5.5858,5.5429,0.042899999999999494,U.S Dollar,US Gallon,2026-09-09
Arkansas,AR,Pine Bluff,3.799,3.77,0.028999999999999915,4.254,4.2015,0.052499999999999325,4.6898,4.723,-0.033199999999999896,5.6127,5.6205,-0.007799999999999585,U.S Dollar,US Gallon,2026-09-09
Arkansas,AR,Texarkana (AR only),3.9442,3.7705,0.17369999999999974,4.5846,4.2934,0.2911999999999999,4.9214,4.8303,0.09109999999999996,5.7437,5.6775,0.06619999999999937,U.S Dollar,US Gallon,2026-09-09
Arkansas,AR,West Memphis,3.8899,3.8157,0.07419999999999982,4.4272,4.2854,0.14179999999999993,4.9071,4.8128,0.0942999999999996,5.7871,5.7296,0.05750000000000011,U.S Dollar,US Gallon,2026-09-09
Arizona,AZ,East Valley,4.6655,4.6649,0.0005999999999994898,5.0654,5.043,0.022400000000000198,5.3633,5.3472,0.01609999999999978,6.0011,5.9965,0.0045999999999999375,U.S Dollar,US Gallon,2026-09-09
Arizona,AZ,Flagstaff,4.6782,4.5863,0.09190000000000076,4.899,4.8299,0.06909999999999972,5.2819,5.185,0.09690000000000065,6.1225,6.0463,0.07620000000000005,U.S Dollar,US Gallon,2026-09-09
Arizona,AZ,Glendale,4.6106,4.6244,-0.013799999999999812,5.0338,5.0277,0.006099999999999994,5.3474,5.3833,-0.03589999999999982,5.9753,5.9693,0.006000000000000227,U.S Dollar,US Gallon,2026-09-09
Arizona,AZ,Lake Havasu-Kingman,4.5754,4.4931,0.08230000000000004,4.8642,4.7139,0.15030000000000054,5.2286,5.0939,0.13470000000000049,6.1745,6.1044,0.07010000000000005,U.S Dollar,US Gallon,2026-09-09
