State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,Currency,Unit,Date
Alaska,AK,Anchorage,4.7465,4.7491,-0.0026000000000001577,5.0332,5.0463,-0.013099999999999667,5.2779,5.2817,-0.0038000000000000256,5.5328,5.5504,-0.017599999999999838,U.S Dollar,US Gallon,2026-08-27
Alaska,AK,Fairbanks,4.7226,4.7265,-0.0038999999999997925,4.9775,4.9467,0.03080000000000016,5.1853,5.2084,-0.023100000000000342,5.5094,5.5326,-0.02320000000000011,U.S Dollar,US Gallon,2026-08-27
Alaska,AK,Juneau,4.6217,4.7435,-0.12180000000000035,4.779,4.779,0.0,4.874,4.874,0.0,5.779,5.8065,-0.027499999999999858,U.S Dollar,US Gallon,2026-08-27
Alabama,AL,Anniston-Oxford,3.6812,3.6982,-0.016999999999999904,4.122,4.15,-0.02800000000000047,4.5746,4.5761,-0.0015000000000000568,5.2824,5.317,-0.034600000000000186,U.S Dollar,US Gallon,2026-08-27
Alabama,AL,Auburn,3.7331,3.7499,-0.016799999999999926,4.1906,4.2241,-0.033500000000000085,4.6276,4.6468,-0.019199999999999662,5.4077,5.4282,-0.020500000000000185,U.S Dollar,US Gallon,2026-08-27
Alabama,AL,Birmingham,3.7178,3.7229,-0.0051000000000001044,4.206,4.2138,-0.007799999999999585,4.6132,4.6309,-0.017699999999999605,5.3914,5.4021,-0.010699999999999932,U.S Dollar,US Gallon,2026-08-27
Alabama,AL,Daphne-Fairhope-Foley,3.6733,3.7042,-0.03090000000000037,4.1239,4.1855,-0.06160000000000032,4.5866,4.6341,-0.04750000000000032,5.3928,5.4244,-0.03160000000000007,U.S Dollar,US Gallon,2026-08-27
Alabama,AL,Decatur,3.6805,3.6915,-0.01100000000000012,4.135,4.1177,0.01729999999999965,4.5417,4.5278,0.01389999999999958,5.3031,5.3038,-0.000700000000000145,U.S Dollar,US Gallon,2026-08-27
Alabama,AL,Dothan,3.7841,3.7787,0.005399999999999849,4.2145,4.2028,0.011700000000000266,4.644,4.6198,0.024200000000000443,5.4692,5.4857,-0.016499999999999737,U.S Dollar,US Gallon,2026-08-27
Alabama,AL,Florence-Muscle Shoals,3.6804,3.7071,-0.026699999999999946,4.0884,4.1181,-0.02970000000000006,4.504,4.5149,-0.010900000000000354,5.3042,5.2935,0.010699999999999932,U.S Dollar,US Gallon,2026-08-27
