State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,Currency,Unit,Date
Alaska,AK,Anchorage,4.7746,4.7821,-0.007499999999999396,5.0945,5.1105,-0.016000000000000014,5.3144,5.3212,-0.006800000000000139,5.4944,5.4826,0.011800000000000033,U.S Dollar,US Gallon,2026-08-20
Alaska,AK,Fairbanks,4.7243,4.7343,-0.009999999999999787,4.9977,5.0332,-0.035499999999999865,5.2066,5.2147,-0.008099999999999774,5.4272,5.414,0.013200000000000323,U.S Dollar,US Gallon,2026-08-20
Alaska,AK,Juneau,4.7545,4.6857,0.06880000000000042,4.763,4.7857,-0.022700000000000387,4.8723,4.8807,-0.008399999999999963,5.779,5.794,-0.01499999999999968,U.S Dollar,US Gallon,2026-08-20
Alabama,AL,Anniston-Oxford,3.757,3.6985,0.058499999999999996,4.1533,4.0838,0.06949999999999967,4.6104,4.5743,0.03610000000000024,5.2701,5.2709,-0.0007999999999999119,U.S Dollar,US Gallon,2026-08-20
Alabama,AL,Auburn,3.7498,3.7137,0.03610000000000024,4.181,4.1199,0.06109999999999971,4.6355,4.5853,0.050200000000000244,5.3129,5.2792,0.03369999999999962,U.S Dollar,US Gallon,2026-08-20
Alabama,AL,Birmingham,3.7365,3.7043,0.032200000000000006,4.2323,4.2015,0.03080000000000016,4.6521,4.6162,0.03589999999999982,5.3315,5.277,0.05449999999999999,U.S Dollar,US Gallon,2026-08-20
Alabama,AL,Daphne-Fairhope-Foley,3.7397,3.6539,0.08579999999999988,4.2442,4.1229,0.12130000000000063,4.6228,4.559,0.06379999999999963,5.3816,5.2912,0.09039999999999981,U.S Dollar,US Gallon,2026-08-20
Alabama,AL,Decatur,3.6993,3.6621,0.0371999999999999,4.1652,4.1314,0.033799999999999386,4.5299,4.4988,0.03109999999999946,5.2366,5.1977,0.038899999999999935,U.S Dollar,US Gallon,2026-08-20
Alabama,AL,Dothan,3.7798,3.7461,0.03369999999999962,4.2449,4.2424,0.002500000000000391,4.6695,4.6395,0.03000000000000025,5.4071,5.3306,0.07650000000000023,U.S Dollar,US Gallon,2026-08-20
Alabama,AL,Florence-Muscle Shoals,3.768,3.7385,0.029499999999999638,4.2226,4.1772,0.045399999999999885,4.5702,4.5664,0.0038000000000000256,5.2694,5.2321,0.03730000000000011,U.S Dollar,US Gallon,2026-08-20
