State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,Currency,Unit,Date
Alaska,AK,Anchorage,5.0184,5.0131,0.005300000000000082,5.2982,5.3198,-0.021600000000000286,5.5226,5.5441,-0.02150000000000052,6.5469,6.4266,0.1203000000000003,U.S Dollar,US Gallon,2026-09-17
Alaska,AK,Fairbanks,5.0439,5.0359,0.008000000000000007,5.2726,5.31,-0.03739999999999988,5.5055,5.5078,-0.0022999999999999687,6.6438,6.549,0.09479999999999933,U.S Dollar,US Gallon,2026-09-17
Alaska,AK,Juneau,4.7601,4.798,-0.0378999999999996,4.9523,4.999,-0.04669999999999952,5.0723,5.049,0.023299999999999876,6.2457,6.1707,0.07500000000000018,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Anniston-Oxford,3.9585,3.9218,0.03669999999999973,4.4201,4.3948,0.025299999999999656,4.8458,4.829,0.016799999999999926,6.1164,6.1219,-0.0055000000000005045,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Auburn,3.9893,3.9485,0.04079999999999995,4.4523,4.3993,0.052999999999999936,4.8715,4.8308,0.04070000000000018,6.12,6.0735,0.046499999999999986,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Birmingham,3.9827,3.9409,0.04179999999999984,4.4559,4.4259,0.02999999999999936,4.8673,4.8403,0.027000000000000135,6.1188,6.0737,0.045100000000000584,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Daphne-Fairhope-Foley,3.9754,3.9246,0.05080000000000018,4.4767,4.4115,0.06519999999999992,4.8826,4.8278,0.05480000000000018,6.0439,5.9743,0.06959999999999944,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Decatur,3.9649,3.9026,0.06230000000000002,4.4328,4.3777,0.05510000000000037,4.7686,4.749,0.019600000000000506,6.0313,5.9629,0.06839999999999957,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Dothan,4.0302,3.9856,0.04459999999999997,4.4866,4.4251,0.061500000000000554,4.908,4.8353,0.07270000000000021,6.131,6.0743,0.056700000000000195,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Florence-Muscle Shoals,3.9919,3.923,0.06889999999999974,4.427,4.3647,0.06229999999999958,4.8193,4.7338,0.08550000000000058,6.0908,6.0392,0.051599999999999646,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Gadsden,3.9698,3.9257,0.04410000000000025,4.4038,4.4216,-0.017799999999999372,4.8228,4.769,0.05379999999999985,6.0273,5.9864,0.0409000000000006,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Huntsville,3.9759,3.9238,0.05210000000000026,4.46,4.4256,0.034399999999999764,4.8154,4.7651,0.05030000000000001,6.03,5.9851,0.04490000000000016,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Mobile,3.9804,3.9347,0.045700000000000074,4.4634,4.4264,0.03699999999999992,4.854,4.8298,0.024200000000000443,6.0867,6.0415,0.04520000000000035,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Montgomery,4.0051,3.9598,0.045299999999999674,4.4851,4.4123,0.07279999999999998,4.9244,4.8905,0.03390000000000004,6.1192,6.0745,0.04470000000000063,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Russell County,4.044,3.9887,0.05529999999999946,4.494,4.4712,0.022800000000000153,4.9512,4.9674,-0.016199999999999548,6.1968,6.1168,0.08000000000000007,U.S Dollar,US Gallon,2026-09-17
Alabama,AL,Tuscaloosa,3.9861,3.953,0.03310000000000013,4.4772,4.434,0.04319999999999968,4.8913,4.8017,0.0895999999999999,6.0706,5.967,0.10360000000000014,U.S Dollar,US Gallon,2026-09-17
Arkansas,AR,Fayetteville-Springdale-Rogers,4.1201,3.9972,0.12290000000000001,4.5296,4.4351,0.09450000000000003,4.8668,4.72,0.14679999999999982,6.0796,5.9444,0.1352000000000002,U.S Dollar,US Gallon,2026-09-17
Arkansas,AR,Fort Smith (AR only),4.0434,3.9717,0.07170000000000032,4.5268,4.4917,0.03509999999999991,4.9171,4.8235,0.09359999999999946,5.962,5.9247,0.03730000000000011,U.S Dollar,US Gallon,2026-09-17
Arkansas,AR,Hot Springs,3.9554,3.8946,0.060799999999999965,4.5542,4.4623,0.09189999999999987,4.9497,4.8974,0.05229999999999979,6.019,5.9538,0.06519999999999992,U.S Dollar,US Gallon,2026-09-17
Arkansas,AR,Jonesboro,4.069,3.9139,0.15510000000000002,4.4849,4.3195,0.1654,4.849,4.8385,0.010500000000000398,6.1462,6.0094,0.13680000000000003,U.S Dollar,US Gallon,2026-09-17
Arkansas,AR,Little Rock-North Little Rock,4.0119,3.9514,0.060499999999999776,4.5122,4.4581,0.05410000000000004,4.8843,4.817,0.06729999999999947,6.0489,5.952,0.09689999999999976,U.S Dollar,US Gallon,2026-09-17
Arkansas,AR,Pine Bluff,3.9367,3.9246,0.012100000000000222,4.4984,4.4484,0.04999999999999982,4.9284,4.9428,-0.01440000000000019,6.0579,5.9357,0.12220000000000031,U.S Dollar,US Gallon,2026-09-17
Arkansas,AR,Texarkana (AR only),4.0435,3.9867,0.05679999999999996,4.6437,4.5431,0.10060000000000002,4.9121,4.8309,0.08119999999999994,6.1157,6.0577,0.05800000000000072,U.S Dollar,US Gallon,2026-09-17
Arkansas,AR,West Memphis,4.0275,3.9734,0.05410000000000004,4.4897,4.4418,0.047900000000000276,4.9428,4.869,0.07380000000000031,6.1199,6.0035,0.1164000000000005,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,East Valley,4.7536,4.7115,0.04209999999999958,5.1338,5.114,0.01980000000000004,5.4566,5.4198,0.0367999999999995,6.3815,6.3015,0.08000000000000007,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,Flagstaff,4.7864,4.7174,0.06900000000000084,4.99,4.9845,0.0055000000000005045,5.3696,5.359,0.010600000000000165,6.569,6.4462,0.1227999999999998,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,Glendale,4.6656,4.6013,0.06430000000000025,5.0317,4.9834,0.04830000000000023,5.3658,5.3392,0.02660000000000018,6.36,6.3025,0.05750000000000011,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,Lake Havasu-Kingman,4.7734,4.7274,0.045999999999999375,5.0067,4.9567,0.05000000000000071,5.3143,5.2678,0.046499999999999986,6.5257,6.4223,0.10339999999999971,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,Peoria,4.6901,4.645,0.045100000000000584,5.067,5.0252,0.04180000000000028,5.3703,5.3228,0.04750000000000032,6.3896,6.2893,0.10029999999999983,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,Phoenix Proper,4.6895,4.649,0.04049999999999976,5.0762,5.0439,0.03230000000000022,5.3988,5.3586,0.04019999999999957,6.3865,6.3209,0.06559999999999988,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,Phoenix-Mesa,4.7003,4.6567,0.04360000000000053,5.0901,5.0541,0.03599999999999959,5.4092,5.3727,0.0365000000000002,6.3842,6.3069,0.07730000000000015,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,Pima County,4.4851,4.4453,0.0398000000000005,4.8587,4.8283,0.030400000000000205,5.1589,5.1383,0.02059999999999995,6.1995,6.1292,0.07029999999999959,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,Prescott,4.7117,4.6633,0.04840000000000089,5.0034,4.9721,0.031299999999999883,5.3407,5.2793,0.0613999999999999,6.4882,6.4143,0.07390000000000008,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,Scottsdale,4.8504,4.8309,0.01949999999999985,5.2108,5.1875,0.023299999999999876,5.5516,5.5383,0.01330000000000009,6.3573,6.2777,0.07960000000000012,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,Sierra Vista-Douglas,4.3588,4.3327,0.026099999999999568,4.6718,4.663,0.008799999999999919,4.9598,4.9517,0.008100000000000662,6.3404,6.2512,0.08919999999999995,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,Tucson,4.4844,4.4451,0.03929999999999989,4.8593,4.8286,0.030700000000000394,5.1604,5.1401,0.020299999999999763,6.206,6.1359,0.07010000000000005,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,West Valley,4.6577,4.6019,0.055800000000000516,5.0391,4.9929,0.046200000000000685,5.363,5.3278,0.035200000000000564,6.3499,6.2781,0.07179999999999964,U.S Dollar,US Gallon,2026-09-17
Arizona,AZ,Yuma,4.6187,4.6068,0.0118999999999998,4.8899,4.8835,0.006400000000000183,5.2334,5.1905,0.042899999999999494,6.4427,6.4451,-0.0023999999999997357,U.S Dollar,US Gallon,2026-09-17
California,CA,Bakersfield,6.0128,5.9732,0.03960000000000008,6.2462,6.2012,0.04499999999999993,6.4675,6.4228,0.04470000000000063,8.2048,8.1158,0.08900000000000041,U.S Dollar,US Gallon,2026-09-17
California,CA,Chico-Paradise,5.8733,5.8426,0.030700000000000394,6.0739,6.01,0.06390000000000029,6.2414,6.217,0.024399999999999977,8.097,8.0183,0.07869999999999955,U.S Dollar,US Gallon,2026-09-17
California,CA,El Centro,5.8425,5.7922,0.05030000000000001,6.0176,5.9578,0.059800000000000075,6.2379,6.2343,0.0035999999999996035,8.081,8.051,0.02999999999999936,U.S Dollar,US Gallon,2026-09-17
California,CA,Fresno,6.0568,6.0238,0.03300000000000036,6.267,6.2401,0.026900000000000368,6.4898,6.4531,0.03669999999999973,8.3959,8.3134,0.08249999999999957,U.S Dollar,US Gallon,2026-09-17
California,CA,Hanford-Corcoran,6.0232,5.9905,0.03270000000000017,6.289,6.2438,0.04519999999999946,6.5014,6.4604,0.04100000000000037,8.4986,8.36,0.13860000000000028,U.S Dollar,US Gallon,2026-09-17
California,CA,Los Angeles-Long Beach,6.1356,6.0894,0.0461999999999998,6.3443,6.3014,0.042899999999999494,6.5222,6.4842,0.03799999999999937,8.3117,8.2143,0.09740000000000038,U.S Dollar,US Gallon,2026-09-17
California,CA,Madera-Chowchilla,6.0986,6.038,0.06059999999999999,6.3681,6.3295,0.038599999999999746,6.6143,6.5469,0.06740000000000013,8.3305,8.2001,0.13039999999999985,U.S Dollar,US Gallon,2026-09-17
California,CA,Merced,5.9658,5.9457,0.02009999999999934,6.2846,6.2647,0.019899999999999807,6.4847,6.4748,0.00990000000000002,8.2294,8.1271,0.10229999999999961,U.S Dollar,US Gallon,2026-09-17
California,CA,Modesto,5.8907,5.8653,0.025399999999999423,6.1803,6.144,0.03629999999999978,6.4044,6.3836,0.020799999999999486,8.2978,8.2353,0.0625,U.S Dollar,US Gallon,2026-09-17
California,CA,Napa,6.2034,6.1655,0.03790000000000049,6.3647,6.3286,0.03610000000000024,6.6103,6.541,0.06929999999999925,8.6418,8.5596,0.08220000000000027,U.S Dollar,US Gallon,2026-09-17
California,CA,Oakland,6.1315,6.0883,0.04319999999999968,6.3711,6.3226,0.048499999999999766,6.5873,6.5289,0.058399999999999785,8.6135,8.5399,0.07360000000000078,U.S Dollar,US Gallon,2026-09-17
California,CA,Orange County,6.1156,6.0697,0.04589999999999961,6.3268,6.2868,0.040000000000000036,6.4936,6.4559,0.03770000000000007,8.2605,8.1729,0.08760000000000012,U.S Dollar,US Gallon,2026-09-17
California,CA,Redding,5.8645,5.8463,0.018199999999999328,6.0328,6.0037,0.02909999999999968,6.2454,6.2106,0.03479999999999972,8.2538,8.1774,0.07639999999999958,U.S Dollar,US Gallon,2026-09-17
California,CA,Riverside,6.0265,5.9883,0.03820000000000068,6.2491,6.2229,0.026200000000000223,6.4412,6.3976,0.04360000000000053,8.2415,8.1622,0.07929999999999993,U.S Dollar,US Gallon,2026-09-17
California,CA,Sacramento,6.0168,5.9871,0.02970000000000006,6.2678,6.2408,0.027000000000000135,6.4765,6.4645,0.011999999999999567,8.3389,8.2718,0.06709999999999994,U.S Dollar,US Gallon,2026-09-17
California,CA,Salinas,6.2645,6.2011,0.06339999999999968,6.4417,6.3836,0.058099999999999596,6.6243,6.6089,0.015399999999999636,8.6306,8.5458,0.08479999999999954,U.S Dollar,US Gallon,2026-09-17
California,CA,San Bernardino,6.012,5.9732,0.03879999999999928,6.2273,6.1957,0.031599999999999184,6.4129,6.3717,0.0411999999999999,8.2475,8.1733,0.07420000000000115,U.S Dollar,US Gallon,2026-09-17
