State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,Currency,Unit,Date
Alaska,AK,Anchorage,4.9733,4.9284,0.04490000000000016,5.2385,5.2215,0.017000000000000348,5.4824,5.4575,0.02490000000000059,5.9966,5.9117,0.0849000000000002,U.S Dollar,US Gallon,2026-09-04
Alaska,AK,Fairbanks,4.9012,4.8424,0.05880000000000063,5.2178,5.1823,0.03550000000000075,5.368,5.3876,-0.019599999999999618,6.102,5.9659,0.1360999999999999,U.S Dollar,US Gallon,2026-09-04
Alaska,AK,Juneau,4.7445,4.6875,0.057000000000000384,4.7947,4.7715,0.02320000000000011,4.9103,4.879,0.03130000000000077,5.9178,5.809,0.10879999999999956,U.S Dollar,US Gallon,2026-09-04
Alabama,AL,Anniston-Oxford,3.7807,3.7761,0.0045999999999999375,4.239,4.1948,0.04420000000000002,4.6417,4.6251,0.016600000000000392,5.5197,5.469,0.05069999999999997,U.S Dollar,US Gallon,2026-09-04
Alabama,AL,Auburn,3.7867,3.7913,-0.0045999999999999375,4.2223,4.2317,-0.009400000000000297,4.6861,4.7106,-0.024500000000000632,5.5505,5.4968,0.05370000000000008,U.S Dollar,US Gallon,2026-09-04
Alabama,AL,Birmingham,3.7828,3.7779,0.0049000000000001265,4.283,4.275,0.008000000000000007,4.6929,4.6973,-0.004400000000000404,5.561,5.5067,0.05429999999999957,U.S Dollar,US Gallon,2026-09-04
Alabama,AL,Daphne-Fairhope-Foley,3.8292,3.8347,-0.00550000000000006,4.2889,4.2676,0.021300000000000097,4.7152,4.7295,-0.014299999999999535,5.5994,5.5558,0.04360000000000053,U.S Dollar,US Gallon,2026-09-04
Alabama,AL,Decatur,3.7745,3.7653,0.009200000000000319,4.2406,4.1941,0.046499999999999986,4.614,4.6107,0.0033000000000003027,5.5281,5.4498,0.07830000000000048,U.S Dollar,US Gallon,2026-09-04
Alabama,AL,Dothan,3.8791,3.8562,0.022900000000000365,4.3016,4.2998,0.0017999999999993577,4.68,4.7409,-0.060900000000000176,5.6185,5.5715,0.04699999999999971,U.S Dollar,US Gallon,2026-09-04
Alabama,AL,Florence-Muscle Shoals,3.7756,3.7837,-0.008100000000000218,4.2011,4.2527,-0.051599999999999646,4.5853,4.596,-0.010699999999999932,5.553,5.4965,0.05649999999999977,U.S Dollar,US Gallon,2026-09-04
Alabama,AL,Gadsden,3.7675,3.7716,-0.0040999999999997705,4.2509,4.219,0.03189999999999937,4.6294,4.6233,0.006099999999999994,5.4664,5.4401,0.02629999999999999,U.S Dollar,US Gallon,2026-09-04
Alabama,AL,Huntsville,3.7714,3.7712,0.00019999999999997797,4.2525,4.2377,0.014800000000000146,4.6338,4.6227,0.011099999999999888,5.5156,5.4623,0.053300000000000125,U.S Dollar,US Gallon,2026-09-04
Alabama,AL,Mobile,3.8208,3.8114,0.009400000000000297,4.2993,4.3033,-0.004000000000000448,4.6792,4.6745,0.004699999999999704,5.6366,5.5909,0.045699999999999186,U.S Dollar,US Gallon,2026-09-04
