State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,Currency,Unit,Date
Alaska,AK,Anchorage,5.0189,5.0247,-0.005799999999999805,5.2876,5.2859,0.001700000000000479,5.5377,5.5502,-0.012500000000000178,6.6487,6.6566,-0.00790000000000024,U.S Dollar,US Gallon,2026-09-25
Alaska,AK,Fairbanks,5.0487,5.079,-0.03029999999999955,5.3057,5.279,0.026699999999999946,5.5284,5.5311,-0.0026999999999999247,6.7875,6.7262,0.061299999999999244,U.S Dollar,US Gallon,2026-09-25
Alaska,AK,Juneau,4.7598,4.829,-0.06919999999999948,4.8876,4.8876,0.0,5.0234,4.989,0.034399999999999764,6.4423,6.4423,0.0,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Anniston-Oxford,4.0715,4.0608,0.010699999999999932,4.5222,4.5235,-0.001300000000000523,4.9215,4.9296,-0.008099999999999774,6.0947,6.1176,-0.02290000000000081,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Auburn,4.0594,4.0644,-0.004999999999999893,4.5329,4.5512,-0.018299999999999983,4.958,4.9735,-0.015499999999999403,6.0614,6.1008,-0.03939999999999966,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Birmingham,4.0873,4.0746,0.012699999999999712,4.5633,4.5461,0.017199999999999882,4.9854,4.9646,0.020800000000000374,6.1448,6.1613,-0.016499999999999737,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Daphne-Fairhope-Foley,4.0502,4.0488,0.00140000000000029,4.5451,4.5473,-0.002200000000000202,4.957,4.9338,0.02320000000000011,6.0351,6.0439,-0.008799999999999919,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Decatur,4.0982,4.0827,0.015500000000000291,4.5652,4.5722,-0.006999999999999673,4.9581,4.9657,-0.007600000000000051,6.0939,6.1012,-0.00730000000000075,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Dothan,4.1138,4.0969,0.01690000000000058,4.5214,4.5462,-0.024799999999999933,4.9128,4.9357,-0.02289999999999992,6.1572,6.1664,-0.009200000000000763,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Florence-Muscle Shoals,4.1653,4.1624,0.0029000000000003467,4.6575,4.6097,0.04779999999999962,5.0385,4.999,0.03950000000000031,6.1288,6.1543,-0.025500000000000078,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Gadsden,4.0577,4.0608,-0.003100000000000769,4.5027,4.486,0.01670000000000016,4.9194,4.9383,-0.018899999999999473,6.0528,6.0444,0.008399999999999963,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Huntsville,4.1175,4.1025,0.01499999999999968,4.601,4.6,0.001000000000000334,4.9357,4.9266,0.009100000000000108,6.1396,6.1394,0.00019999999999953388,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Mobile,4.0518,4.0393,0.012500000000000178,4.5314,4.5283,0.0030999999999998806,4.9272,4.9287,-0.0015000000000000568,6.0614,6.07,-0.008600000000000385,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Montgomery,4.1004,4.0922,0.008199999999999541,4.5707,4.5519,0.018800000000000594,5.028,5.0157,0.012299999999999756,6.1035,6.1234,-0.019899999999999807,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Russell County,4.1045,4.0911,0.013399999999999856,4.5817,4.5397,0.041999999999999815,5.0684,5.0537,0.014699999999999491,6.2368,6.2374,-0.000600000000000378,U.S Dollar,US Gallon,2026-09-25
Alabama,AL,Tuscaloosa,4.0863,4.0822,0.004099999999999326,4.5714,4.5465,0.0248999999999997,4.9761,4.9445,0.03160000000000007,6.1367,6.1377,-0.0009999999999994458,U.S Dollar,US Gallon,2026-09-25
Arkansas,AR,Fayetteville-Springdale-Rogers,4.118,4.1335,-0.015499999999999403,4.5384,4.5678,-0.02939999999999987,4.862,4.871,-0.009000000000000341,6.1942,6.2233,-0.02909999999999968,U.S Dollar,US Gallon,2026-09-25
Arkansas,AR,Fort Smith (AR only),4.0725,4.0953,-0.022800000000000153,4.5479,4.577,-0.02909999999999968,4.914,4.9242,-0.010200000000000209,6.1665,6.1806,-0.014100000000000001,U.S Dollar,US Gallon,2026-09-25
Arkansas,AR,Hot Springs,3.9666,3.9727,-0.006099999999999994,4.4727,4.5121,-0.039400000000000546,4.8723,4.8905,-0.018200000000000216,6.0817,6.0907,-0.009000000000000341,U.S Dollar,US Gallon,2026-09-25
Arkansas,AR,Jonesboro,3.9902,3.997,-0.006799999999999695,4.3572,4.3874,-0.03020000000000067,4.8055,4.7773,0.028200000000000003,6.2583,6.2655,-0.007200000000000095,U.S Dollar,US Gallon,2026-09-25
Arkansas,AR,Little Rock-North Little Rock,3.9906,3.9891,0.0015000000000000568,4.5275,4.5191,0.008399999999999963,4.8594,4.8441,0.01529999999999987,6.0583,6.0747,-0.01639999999999997,U.S Dollar,US Gallon,2026-09-25
Arkansas,AR,Pine Bluff,4.0129,4.0071,0.005799999999999805,4.579,4.4976,0.08139999999999947,4.9984,4.949,0.04940000000000033,6.0512,6.093,-0.04180000000000028,U.S Dollar,US Gallon,2026-09-25
Arkansas,AR,Texarkana (AR only),4.0431,4.0658,-0.022700000000000387,4.6055,4.6243,-0.018799999999999706,4.9923,5.0063,-0.014000000000000234,6.1123,6.1553,-0.04300000000000015,U.S Dollar,US Gallon,2026-09-25
Arkansas,AR,West Memphis,4.0693,4.0696,-0.000300000000000189,4.5101,4.5122,-0.0020999999999995467,5.0695,5.0549,0.014599999999999724,6.2142,6.2464,-0.03220000000000045,U.S Dollar,US Gallon,2026-09-25
Arizona,AZ,East Valley,4.9333,4.9131,0.020199999999999996,5.3257,5.305,0.020700000000000607,5.636,5.6101,0.025900000000000034,6.3812,6.401,-0.01980000000000004,U.S Dollar,US Gallon,2026-09-25
Arizona,AZ,Flagstaff,4.9272,4.8668,0.06040000000000045,5.1666,5.1084,0.05820000000000025,5.5165,5.5079,0.008599999999999497,6.6575,6.6593,-0.0018000000000002458,U.S Dollar,US Gallon,2026-09-25
Arizona,AZ,Glendale,4.8437,4.8107,0.03300000000000036,5.2412,5.2175,0.023699999999999832,5.5862,5.5366,0.049599999999999866,6.3919,6.4079,-0.016000000000000014,U.S Dollar,US Gallon,2026-09-25
Arizona,AZ,Lake Havasu-Kingman,4.8862,4.8596,0.02659999999999929,5.121,5.0782,0.042800000000000615,5.4457,5.4196,0.026100000000000456,6.6499,6.6546,-0.004700000000000593,U.S Dollar,US Gallon,2026-09-25
